gen;size
0;1000
1;1000
2;1000
3;1000
4;1000
5;1000
6;1000
7;1000
8;1000
9;1000
10;1000
11;1000
12;1000
13;1000
14;1000
15;1000
16;1000
17;1000
18;1000
19;1000
20;1000
21;1000
22;1000
23;1000
24;1000
25;1000
26;1000
27;1000
28;1000
29;1000
30;1000
31;1000
32;1000
33;1000
34;1000
35;1000
36;1000
37;1000
38;1000
39;1000
40;1000
41;1000
42;1000
43;1000
44;1000
45;1000
46;1000
47;1000
48;1000
49;1000
50;1000
51;1000
52;1000
53;1000
54;1000
55;1000
56;999
57;1007
58;1007
59;1007
60;1007
61;1007
62;1007
63;1007
64;1007
65;1007
66;1007
67;1007
68;1007
69;1007
70;1007
71;1007
72;1007
73;1007
74;1007
75;1007
76;1007
77;1007
78;1007
79;1006
80;1005
81;1005
82;1005
83;1005
84;1005
85;1005
86;1005
87;1005
88;1005
89;1005
90;1005
91;1005
92;1005
93;1005
94;1005
95;1005
96;1005
97;1005
98;1005
99;1005
100;1005
101;1005
102;1005
103;1005
104;1005
105;1005
106;1005
107;1005
108;1005
109;1005
110;1005
111;1005
112;1005
113;1005
114;1005
115;1005
116;1005
117;1005
118;1005
119;1005
120;1005
121;1005
122;1005
123;1005
124;1005
125;1005
126;1005
127;1005
128;1005
129;1005
130;1005
131;1005
132;1005
133;1005
134;1005
135;1005
136;1005
137;1004
138;1004
139;1004
140;1004
141;1004
142;1004
143;1003
144;1003
145;1003
146;1003
147;1003
148;1003
149;1003
150;1003
151;1003
152;1003
153;1003
154;1003
155;1003
156;1003
157;1003
158;1003
159;1003
160;1003
161;1003
162;1003
163;1003
164;1003
165;1003
166;1003
167;1003
168;1003
169;1002
170;1002
171;1002
172;1002
173;1002
174;1002
175;1002
176;1002
177;1002
178;1002
179;1002
180;1002
181;1002
182;1002
183;1002
184;1002
185;1002
186;1002
187;1002
188;1002
189;1002
190;1002
191;1002
192;1002
193;1002
194;1002
195;1002
196;1002
197;1002
198;1002
199;1002
200;1002
201;1002
202;1001
203;1001
204;1001
205;1001
206;1001
207;1001
208;1001
209;1001
210;1001
211;1001
212;1001
213;1001
214;1001
215;1001
216;1001
217;1001
218;1001
219;1001
220;1001
221;1001
222;1001
223;1001
224;1001
225;1001
226;1001
227;1001
228;1001
229;1001
230;1001
231;1001
232;1001
233;1001
234;1001
235;1001
236;1001
237;1001
238;1001
239;1001
240;1001
241;1001
242;1001
243;1001
244;1001
245;1001
246;1001
247;1001
248;1001
249;1001
250;1001
251;1001
252;1001
253;1001
254;1001
255;1001
256;1001
257;1001
258;1001
259;1001
260;1001
261;1001
262;1001
263;1001
264;1001
265;1001
266;1001
267;1001
268;1001
269;1001
270;1001
271;1001
272;1001
273;1001
274;1001
275;1001
276;1001
277;1001
278;1001
279;1001
280;1001
281;1001
282;1001
283;1001
284;1001
285;1001
286;1000
287;1000
288;1000
289;1000
290;1000
291;1000
292;1000
293;1000
294;1000
295;1000
296;1000
297;1000
298;1000
299;1000
300;1000
301;1000
302;1000
303;1000
304;1000
305;999
306;1007
307;1007
308;1007
309;1007
310;1007
311;1007
312;1007
313;1007
314;1007
315;1007
316;1007
317;1007
318;1007
319;1007
320;1007
321;1007
322;1007
323;1007
324;1007
325;1007
326;1007
327;1007
328;1007
329;1007
330;1007
331;1006
332;1006
333;1006
334;1006
335;1005
336;1005
337;1005
338;1005
339;1005
340;1005
341;1005
342;1005
343;1005
344;1005
345;1005
346;1005
347;1005
348;1005
349;1005
350;1005
351;1005
352;1005
353;1005
354;1005
355;1005
356;1005
357;1005
358;1005
359;1005
360;1005
361;1005
362;1005
363;1005
364;1005
365;1005
366;1005
367;1005
368;1005
369;1005
370;1005
371;1005
372;1005
373;1005
374;1005
375;1005
376;1005
377;1005
378;1005
379;1005
380;1005
381;1005
382;1005
383;1005
384;1005
385;1005
386;1005
387;1005
388;1005
389;1005
390;1005
391;1005
392;1005
393;1005
394;1005
395;1005
396;1005
397;1005
398;1005
399;1005
400;1005
401;1005
402;1005
403;1005
404;1005
405;1005
406;1005
407;1005
408;1005
409;1005
410;1005
411;1005
412;1005
413;1005
414;1005
415;1005
416;1005
417;1005
418;1005
419;1005
420;1005
421;1005
422;1005
423;1005
424;1005
425;1005
426;1005
427;1005
428;1005
429;1005
430;1005
431;1005
432;1005
433;1005
434;1005
435;1005
436;1005
437;1005
438;1005
439;1005
440;1004
441;1004
442;1004
443;1004
444;1004
445;1004
446;1004
447;1004
448;1004
449;1004
450;1004
451;1004
452;1004
453;1004
454;1004
455;1004
456;1004
457;1004
458;1004
459;1004
460;1004
461;1004
462;1004
463;1004
464;1004
465;1004
466;1004
467;1004
468;1004
469;1004
470;1004
471;1004
472;1004
473;1004
474;1004
475;1004
476;1004
477;1004
478;1004
479;1004
480;1004
481;1004
482;1004
483;1004
484;1004
485;1004
486;1004
487;1004
488;1004
489;1004
490;1004
491;1004
492;1004
493;1004
494;1004
495;1004
496;1004
497;1004
498;1004
499;1004
500;1004
501;1004
502;1004
503;1004
504;1004
505;1004
506;1004
507;1004
508;1004
509;1004
510;1004
511;1004
512;1004
513;1004
514;1004
515;1004
516;1004
517;1004
518;1004
519;1004
520;1004
521;1004
522;1004
523;1004
524;1004
525;1004
526;1004
527;1004
528;1004
529;1002
530;1002
531;1002
532;1002
533;1002
534;1002
535;1002
536;1002
537;1002
538;1002
539;1002
540;1002
541;1002
542;1002
543;1002
544;1002
545;1002
546;1002
547;1002
548;1002
549;1002
550;1002
551;1002
552;1002
553;1002
554;1002
555;1002
556;1002
557;1002
558;1002
559;1002
560;1002
561;1002
562;1002
563;1002
564;1002
565;1002
566;1002
567;1002
568;1002
569;1002
570;1002
571;1002
572;1002
573;1002
574;1002
575;1002
576;1002
577;1002
578;1002
579;1002
580;1002
581;1002
582;1002
583;1002
584;1002
585;1002
586;1002
587;1002
588;1002
589;1002
590;1002
591;1002
592;1002
593;1002
594;1002
595;1002
596;1002
597;1002
598;1002
599;1002
600;1002
601;1002
602;1002
603;1001
604;1001
605;1000
606;1000
607;1000
608;1000
609;1000
610;1000
611;1000
612;1000
613;1000
614;1000
615;1000
616;1000
617;1000
618;1000
619;1000
620;1000
621;1000
622;1000
623;999
624;1003
625;1003
626;1003
627;1003
628;1003
629;1003
630;1003
631;1003
632;1003
633;1003
634;1003
635;1003
636;1003
637;1003
638;1003
639;1003
640;1003
641;1003
642;1003
643;1003
644;1003
645;1003
646;1003
647;1003
648;1003
649;1003
650;1002
651;1002
652;1002
653;1002
654;1002
655;1002
656;1002
657;1002
658;1002
659;1002
660;1002
661;1002
662;1002
663;1002
664;1002
665;1002
666;1002
667;1002
668;1002
669;1002
670;1002
671;1002
672;1002
673;1002
674;1002
675;1002
676;1002
677;1002
678;1002
679;1002
680;1002
681;1002
682;1002
683;1002
684;1002
685;1002
686;1002
687;1002
688;1002
689;1002
690;1002
691;1002
692;1002
693;1002
694;1002
695;1002
696;1002
697;1002
698;1002
699;1002
700;1002
701;1002
702;1002
703;1002
704;1002
705;1002
706;1001
707;1001
708;1001
709;1001
710;1001
711;1001
712;1001
713;1001
714;1001
715;1000
716;1000
717;1000
718;1000
719;1000
720;1000
721;1000
722;1000
723;1000
724;1000
725;1000
726;1000
727;1000
728;1000
729;1000
730;1000
731;1000
732;1000
733;1000
734;1000
735;1000
736;1000
737;1000
738;1000
739;1000
740;1000
741;1000
742;1000
743;1000
744;1000
745;1000
746;1000
747;1000
748;1000
749;1000
750;1000
751;1000
752;1000
753;1000
754;1000
755;1000
756;1000
757;1000
758;1000
759;1000
760;999
761;1000
762;1000
763;999
764;999
765;999
766;999
767;999
768;999
769;999
770;999
771;1000
772;1000
773;1000
774;1000
775;1000
776;1000
777;1000
778;999
779;999
780;999
781;1000
782;1000
783;1000
784;1000
785;1000
786;1000
787;1000
788;1000
789;1000
790;1000
791;1000
792;1000
793;1000
794;1000
795;1000
796;1000
797;1000
798;1000
799;1000
800;1000
801;1000
802;1000
803;1000
804;1000
805;1000
806;999
807;1000
808;1000
809;1000
810;1000
811;1000
812;1000
813;1000
814;1000
815;1000
816;1000
817;1000
818;1000
819;1000
820;1000
821;1000
822;1000
823;1000
824;1000
825;1000
826;1000
827;1000
828;1000
829;1000
830;1000
831;1000
832;1000
833;1000
834;1000
835;1000
836;1000
837;1000
838;1000
839;1000
840;1000
841;1000
842;1000
843;1000
844;1000
845;1000
846;1000
847;1000
848;1000
849;1000
850;1000
851;1000
852;1000
853;1000
854;1000
855;1000
856;1000
857;1000
858;1000
859;1000
860;1000
861;1000
862;1000
863;1000
864;1000
865;1000
866;1000
867;1000
868;1000
869;1000
870;1000
871;1000
872;1000
873;1000
874;1000
875;1000
876;1000
877;1000
878;1000
879;1000
880;1000
881;1000
882;1000
883;1000
884;1000
885;1000
886;1000
887;1000
888;1000
889;1000
890;1000
891;1000
892;1000
893;1000
894;1000
895;1000
896;1000
897;1000
898;1000
899;1000
900;1000
901;1000
902;999
903;999
904;1000
905;1000
906;1000
907;1000
908;1000
909;1000
910;1000
911;1000
912;1000
913;1000
914;1000
915;1000
916;1000
917;1000
918;1000
919;1000
920;1000
921;1000
922;1000
923;1000
924;1000
925;1000
926;1000
927;1000
928;1000
929;1000
930;1000
931;1000
932;1000
933;1000
934;1000
935;999
936;1003
937;1003
938;1003
939;1003
940;1003
941;1002
942;1002
943;1002
944;1002
945;1002
946;1002
947;1002
948;1002
949;1002
950;1002
951;1002
952;1002
953;1002
954;1002
955;1002
956;1001
957;1001
958;1001
959;1001
960;1001
961;1001
962;1001
963;1001
964;1001
965;1001
966;1001
967;1001
968;1001
969;1001
970;1001
971;1001
972;1001
973;1001
974;1001
975;1001
976;1001
977;1001
978;1001
979;1001
980;1001
981;1001
982;1001
983;1001
984;1001
985;1001
986;1001
987;1001
988;1000
989;1000
990;1000
991;999
992;999
993;999
994;999
995;1000
996;1000
997;1000
998;1000
999;1000
