id;x;y;sp
0;6.082047;39.985779;0
1;88.662041;89.171288;1
2;94.493774;42.741074;2
3;54.542812;16.137444;3
4;40.338387;99.774963;4
5;68.170898;96.379326;5
6;98.708298;3.805561;6
7;41.011574;1.189323;7
8;72.365425;98.409370;8
9;9.742729;41.622070;0
10;28.166550;24.747023;9
11;15.044840;12.924020;10
12;56.920719;73.147354;11
13;98.290939;99.479523;12
14;2.226016;80.054886;13
15;99.468674;79.748726;13
16;58.556023;71.786873;14
17;92.976891;39.292221;2
18;56.474964;16.544245;3
19;83.160286;86.752151;1
20;15.150981;68.203133;15
21;95.366455;54.393940;16
22;76.986214;1.899788;8
23;51.759850;16.862158;3
24;91.692963;14.424277;8
25;45.195435;10.894711;17
26;28.910206;74.166199;0
27;76.441681;94.213577;18
28;82.556862;88.513191;1
29;23.182606;66.069214;19
30;32.093090;0.827614;20
31;30.598436;10.561024;21
32;40.664169;42.330173;22
33;4.949841;85.559128;23
34;40.338387;99.774963;4
35;39.719170;76.127098;24
36;16.288731;31.085625;25
37;33.818428;1.286926;20
38;93.711372;42.539848;2
39;96.894524;41.492458;2
40;26.635735;9.311290;26
41;33.729980;68.588737;19
42;78.894150;78.682655;27
43;91.210884;41.574085;2
44;53.615822;3.755228;3
45;56.253025;52.405991;28
46;32.216026;88.911690;4
47;33.229523;69.326027;19
48;4.986334;56.799450;29
49;92.942780;22.923674;30
50;55.374393;11.849132;3
51;22.427023;63.450111;19
52;27.711040;87.600082;4
53;78.298027;34.786293;31
54;16.706139;20.291248;32
55;7.533295;76.535454;23
56;71.296989;57.215076;33
57;31.255941;12.355909;21
58;30.598436;10.561024;21
59;23.969976;49.112709;34
60;25.130798;65.551689;19
61;76.441681;94.213577;18
62;9.742729;41.622070;0
63;96.345680;32.755836;35
64;72.045425;90.174446;18
65;97.660454;29.073856;35
66;68.170898;96.379326;5
67;76.525200;96.857224;36
68;20.836594;19.564413;32
69;16.733442;43.045845;37
70;48.352371;48.781734;38
71;12.444921;15.634113;10
72;35.064640;44.615921;39
73;83.478561;36.987854;31
74;75.161476;97.857620;36
75;97.373329;57.904030;16
76;14.621880;58.933647;40
77;76.986214;1.899788;8
78;8.977468;84.308731;23
79;91.628891;26.434689;35
80;29.852417;91.103386;4
81;2.327974;35.788483;0
82;7.185232;15.111794;41
83;4.538651;53.080265;42
84;2.016037;6.288898;41
85;52.563309;87.835358;43
86;84.531609;97.249542;44
87;37.709843;79.287552;24
88;75.363113;65.768570;33
89;64.961235;77.620491;38
90;89.926765;43.490524;16
91;58.920418;53.058720;28
92;27.847662;8.374002;21
93;24.355038;64.630486;45
94;98.290939;99.479523;12
95;26.635735;9.311290;26
96;23.393129;22.561361;9
97;41.711273;98.165779;7
98;56.120586;77.064095;46
99;90.790985;4.443755;47
100;6.656053;10.836821;41
101;61.881264;81.152260;38
102;64.067467;66.928001;38
103;20.543379;43.335541;34
104;15.909674;41.494297;48
105;15.151786;64.797935;15
106;55.702774;69.281937;14
107;84.871208;24.873146;35
108;22.475140;65.262276;45
109;95.396049;43.229988;2
110;55.882469;68.467873;14
111;14.188126;43.427151;48
112;37.709843;79.287552;24
113;53.735085;19.579504;3
114;13.559142;42.974895;49
115;11.052286;23.895788;9
116;83.160286;86.752151;1
117;92.747635;49.256367;50
118;86.884552;41.093971;16
119;4.581552;7.781918;32
120;29.852417;91.103386;4
121;27.030922;63.499561;19
122;95.023949;56.523193;16
123;88.421524;3.805596;47
124;68.160019;36.045189;51
125;2.016037;6.288898;41
126;2.206764;8.297121;52
127;7.687768;6.965414;10
128;99.571884;44.389904;42
129;86.751099;96.426216;44
130;54.542812;16.137444;3
131;5.981073;82.379364;23
132;32.395683;65.711662;19
133;3.254486;54.504795;29
134;9.934853;12.407216;32
135;8.079382;25.117083;9
136;2.710968;42.241550;42
137;78.887383;6.004204;53
138;84.719826;95.290993;54
139;75.597633;80.954376;54
140;99.449173;42.985767;42
141;0.378479;60.049171;16
142;35.771908;5.131917;20
143;92.351852;8.946245;8
144;12.039303;30.957588;9
145;82.254196;89.147636;54
146;5.072442;56.640068;29
147;80.594093;89.903740;54
148;86.091599;43.231655;51
149;59.469112;37.377419;55
150;68.593895;94.784386;43
151;41.817532;70.600227;43
152;80.795776;87.111115;54
153;79.879875;93.782578;54
154;77.743576;79.444443;54
155;78.833786;86.932343;54
156;69.098053;73.275490;56
157;37.336739;3.414755;17
158;6.082047;39.985779;0
159;73.673386;78.271179;57
160;38.351830;3.467247;17
161;82.556862;88.513191;1
162;0.213715;96.777573;6
163;19.136845;48.613434;37
164;16.733442;43.045845;37
165;31.164949;98.300636;20
166;29.488277;63.803246;58
167;41.515007;9.182742;59
168;32.189148;73.233612;0
169;17.442890;45.866322;37
170;48.178150;6.459022;59
171;12.582417;25.228916;25
172;37.336739;3.414755;17
173;95.444519;47.291367;2
174;56.339233;32.029129;60
175;30.793232;2.910978;61
176;58.795139;65.534119;38
177;53.412178;33.609623;60
178;98.708298;3.805561;6
179;2.005761;43.658539;34
180;32.010494;85.996979;17
181;73.673386;78.271179;57
182;23.130110;48.275341;62
183;60.276409;16.175344;3
184;29.601601;42.847260;39
185;61.561268;29.715752;63
186;26.635735;9.311290;26
187;40.338387;99.774963;4
188;51.849216;31.380426;60
189;65.183441;69.767380;56
190;95.440826;95.766029;6
191;60.043720;83.307228;64
192;76.667778;99.167709;36
193;14.621880;58.933647;40
194;26.014084;69.283066;0
195;19.356098;63.271568;0
196;98.371231;3.209563;6
197;29.488277;63.803246;58
198;68.170898;96.379326;5
199;17.442890;45.866322;37
200;96.890312;0.300430;6
201;19.319174;47.723408;37
202;6.917337;7.194440;10
203;98.708298;3.805561;6
204;79.683525;87.464729;54
205;37.176498;40.246231;43
206;98.804176;24.477396;65
207;47.167191;6.511307;7
208;44.592583;1.701614;7
209;79.962273;11.887011;8
210;79.962273;11.887011;8
211;57.200287;76.014557;11
212;9.780601;30.513577;25
213;21.415707;74.602371;66
214;94.812721;14.062999;8
215;9.742729;41.622070;0
216;89.032158;9.842722;67
217;24.523798;21.921812;9
218;84.507545;99.687332;44
219;6.917337;7.194440;10
220;56.920719;73.147354;11
221;59.020321;77.082191;11
222;60.043720;83.307228;64
223;0.565071;99.931030;12
224;44.663471;7.343072;59
225;73.673386;78.271179;57
226;60.713509;79.347092;11
227;43.939590;6.984821;59
228;31.164949;98.300636;20
229;10.379391;33.636581;68
230;0.978271;79.514114;13
231;88.280998;9.875970;8
232;26.784328;1.926774;7
233;23.890116;80.359787;66
234;99.468674;79.748726;13
235;32.189148;73.233612;0
236;0.626778;3.678658;6
237;75.742523;2.500485;69
238;55.702774;69.281937;14
239;60.246105;77.731834;11
240;85.772003;35.179577;51
241;93.711372;42.539848;2
242;20.203001;75.763153;66
243;24.840755;77.097542;66
244;61.239773;77.269165;11
245;69.012505;13.940351;70
246;54.542812;16.137444;3
247;88.785728;13.815144;8
248;83.500534;21.723387;71
249;82.356216;7.552304;53
250;92.031830;89.670731;1
251;55.707516;69.578995;14
252;17.613823;70.476410;15
253;69.008034;16.207842;70
254;3.254486;54.504795;29
255;0.324417;6.947999;6
256;15.495148;62.616547;29
257;93.048676;56.033371;16
258;80.442741;6.722665;8
259;11.129623;36.536064;68
260;14.271970;13.240868;10
261;2.133873;46.431263;42
262;16.733442;43.045845;37
263;80.594093;89.903740;54
264;84.245117;98.345840;44
265;90.453110;43.981373;51
266;53.735085;19.579504;3
267;83.631386;21.623175;71
268;13.699871;64.086487;45
269;84.916824;22.737818;71
270;22.358917;65.310814;29
271;99.955406;18.492052;8
272;97.023918;15.951157;8
273;84.377678;18.773560;71
274;85.772003;35.179577;51
275;29.717016;78.819130;66
276;71.223267;14.553992;70
277;74.464661;77.521217;27
278;19.184557;43.620911;72
279;19.184557;43.620911;72
280;92.811638;18.781219;8
281;71.323891;45.556538;55
282;82.625633;90.153664;54
283;69.988129;45.181549;55
284;72.157867;52.860123;55
285;70.625687;44.789539;55
286;37.597561;38.878765;43
287;79.241539;83.998581;54
288;37.176498;40.246231;43
289;84.164772;96.997276;47
290;80.788078;92.451622;47
291;15.903871;63.551003;40
292;68.705200;74.070137;56
293;2.310202;42.847881;34
294;39.895447;6.310426;17
295;71.744598;58.709160;33
296;29.601601;42.847260;39
297;64.057121;67.899078;38
298;51.373196;80.226143;46
299;31.353268;70.638885;0
300;73.673386;78.271179;57
301;31.966644;81.301750;17
302;30.473335;59.513016;73
303;70.466858;90.138168;18
304;28.381325;58.310097;73
305;16.733442;43.045845;37
306;59.010807;27.652363;63
307;83.974831;88.029839;1
308;99.168991;28.243528;30
309;98.769234;0.160210;6
310;23.774269;53.143852;37
311;22.427023;63.450111;19
312;44.981705;22.664274;74
313;60.599895;30.699301;63
314;78.298027;34.786293;31
315;69.227295;46.544003;55
316;78.906464;97.858223;36
317;50.428822;81.876701;43
318;31.685650;1.125793;20
319;32.225388;1.217499;20
320;96.850716;25.018822;65
321;11.518061;36.301117;25
322;67.199829;53.970684;33
323;93.022781;25.680450;65
324;30.598436;10.561024;21
325;29.488277;63.803246;58
326;5.981073;82.379364;23
327;8.145827;25.127226;25
328;0.986977;34.915730;35
329;49.255814;9.872061;59
330;18.802988;48.561356;37
331;11.795651;44.265438;49
332;48.638504;11.399387;59
333;24.523798;21.921812;9
334;40.949440;83.346962;24
335;61.807423;70.119209;75
336;11.502518;29.842541;25
337;13.257366;22.781755;25
338;93.054878;24.729723;65
339;38.669613;3.418899;17
340;96.568695;58.528126;15
341;73.155548;1.301842;53
342;35.049011;3.704708;20
343;96.146103;47.353676;2
344;89.675636;39.001060;2
345;51.373196;80.226143;46
346;54.815403;20.603918;63
347;70.256729;71.764618;38
348;2.640479;12.678905;52
349;33.398796;2.146027;20
350;58.426594;63.916843;38
351;58.795139;65.534119;38
352;96.890312;0.300430;6
353;22.427023;63.450111;19
354;2.352699;43.124660;34
355;76.258087;79.961548;27
356;31.966644;81.301750;17
357;28.381325;58.310097;73
358;96.598488;25.950987;35
359;94.816574;22.993710;30
360;28.381325;58.310097;73
361;75.335770;6.222833;76
362;96.146103;47.353676;2
363;31.966644;81.301750;17
364;75.335770;6.222833;76
365;49.765217;2.909142;3
366;39.718597;3.481863;77
367;18.772854;56.975315;62
368;13.674296;70.679382;15
369;61.561268;29.715752;63
370;57.268814;52.631241;28
371;92.556969;47.226257;50
372;73.673386;78.271179;57
373;15.150981;68.203133;15
374;15.495148;62.616547;29
375;37.451286;99.845520;4
376;32.435257;66.640884;19
377;18.751074;49.551727;62
378;18.968443;63.817108;29
379;67.968262;70.690742;56
380;99.493195;26.232563;30
381;7.086918;31.099985;68
382;19.136845;48.613434;37
383;73.031952;44.015598;55
