id;x;y;sp;gen
0;18.410503;11.937374;0;999
1;55.612072;67.159393;0;999
2;72.492607;75.361755;0;999
3;85.150757;26.938887;0;999
4;55.280418;46.914875;0;999
5;26.654453;2.436852;0;999
6;41.909454;45.788189;0;999
7;75.795601;52.203262;0;999
8;35.778534;80.264679;0;999
9;12.783587;58.983730;0;999
10;79.360542;50.446945;0;999
11;76.386269;99.935265;0;999
12;25.164997;32.413212;0;999
13;29.763567;9.283585;0;999
14;31.191147;64.498276;0;999
15;88.917191;65.021660;0;999
16;9.961273;90.450050;0;999
17;66.979111;18.674374;0;999
18;61.989418;52.076481;0;999
19;50.483047;83.347771;0;999
20;25.112160;48.616112;0;999
21;3.090088;55.331169;0;999
22;78.790840;12.098033;0;999
23;56.169113;95.918320;0;999
24;44.258495;29.452707;0;999
25;73.437080;34.935017;0;999
26;38.838314;63.326080;0;999
27;36.390514;79.845871;0;999
28;89.865402;26.949266;0;999
29;93.226204;25.392460;0;999
30;75.578262;46.615940;0;999
31;72.931206;52.534504;0;999
32;22.027002;73.935196;0;999
33;13.057944;37.004059;0;999
34;12.135768;41.191284;0;999
35;76.475266;68.083778;0;999
36;56.374298;98.222008;0;999
37;61.148643;86.072716;0;999
38;96.783798;93.877357;0;999
39;22.815063;2.271214;0;999
40;51.645386;70.701370;0;999
41;96.155167;54.495632;0;999
42;53.886166;15.645359;0;999
43;73.268394;78.765457;0;999
44;60.726234;13.924025;0;999
45;72.742004;82.974434;0;999
46;23.698830;34.861065;0;999
47;48.180943;54.280643;0;999
48;64.260719;35.707325;0;999
49;71.142921;64.771034;0;999
50;3.646771;68.457314;0;999
51;92.157257;74.032959;0;999
52;34.677921;50.375397;0;999
53;9.574546;10.348984;0;999
54;66.155342;87.816605;0;999
55;94.950378;18.859095;0;999
56;54.325535;55.112537;0;999
57;12.020197;99.211380;0;999
58;20.567287;31.538616;0;999
59;27.113180;41.671230;0;999
60;3.908263;25.308010;0;999
61;71.677666;47.569321;0;999
62;84.837044;82.586960;0;999
63;14.235079;20.776550;0;999
64;64.591103;42.896793;0;999
65;85.449890;27.866407;0;999
66;16.002859;89.011322;0;999
67;66.109528;95.942474;0;999
68;96.076721;21.010321;0;999
69;95.326248;95.973145;0;999
70;94.546768;90.046768;0;999
71;51.477722;86.871483;0;999
72;88.979614;15.304102;0;999
73;57.410393;54.029621;0;999
74;52.605026;32.360691;0;999
75;49.635857;89.134880;0;999
76;78.597397;76.994827;0;999
77;55.574924;84.209724;0;999
78;68.931244;34.163239;0;999
79;62.739639;57.791607;0;999
80;95.497429;66.650200;0;999
81;61.456074;86.186905;0;999
82;86.277618;41.682594;0;999
83;8.830099;26.432678;0;999
84;79.120544;25.612637;0;999
85;33.740047;57.038826;0;999
86;91.236771;1.538490;0;999
87;23.998642;90.987137;0;999
88;85.187134;26.531219;0;999
89;4.855813;77.292938;0;999
90;59.137222;97.541389;0;999
91;61.710506;54.354233;0;999
92;28.698725;64.334145;0;999
93;59.075214;90.558907;0;999
94;91.523338;23.970001;0;999
95;61.236401;27.740917;0;999
96;47.722198;78.576347;0;999
97;30.170248;90.324478;0;999
98;62.085266;40.009815;0;999
99;36.268631;55.281845;0;999
100;6.133161;51.903332;0;999
101;66.027023;37.501610;0;999
102;93.383560;25.966028;0;999
103;73.204559;45.702312;0;999
104;79.016647;32.890789;0;999
105;72.760704;32.239944;0;999
106;95.326248;95.973145;0;999
107;36.049793;79.281410;0;999
108;23.812721;60.502808;0;999
109;30.242750;24.152828;0;999
110;34.731686;70.173080;0;999
111;78.503441;32.613953;0;999
112;49.482845;36.109482;0;999
113;36.277813;87.511856;0;999
114;24.789484;22.756317;0;999
115;63.071342;93.337189;0;999
116;57.067131;2.329396;0;999
117;98.602798;12.713895;0;999
118;82.182060;91.576332;0;999
119;77.025879;33.532448;0;999
120;57.772301;96.593620;0;999
121;74.093834;85.927032;0;999
122;95.971489;2.476030;0;999
123;85.388077;85.681984;0;999
124;45.823757;87.235954;0;999
125;58.261265;57.879074;0;999
126;23.706974;82.174500;0;999
127;9.312819;33.599094;0;999
128;65.064629;52.609398;0;999
129;16.328087;12.670852;0;999
130;91.452950;9.686672;0;999
131;12.419479;16.835840;0;999
132;48.949707;69.479843;0;999
133;34.654362;67.137642;0;999
134;5.681880;31.356327;0;999
135;46.284088;80.751282;0;999
136;7.541996;29.037167;0;999
137;96.122993;55.466057;0;999
138;46.546455;12.787809;0;999
139;4.066430;67.629257;0;999
140;53.396374;49.393745;0;999
141;77.119438;64.792145;0;999
142;59.441162;14.341400;0;999
143;11.168745;94.334969;0;999
144;88.850266;96.418770;0;999
145;46.993313;64.175423;0;999
146;3.070194;23.041819;0;999
147;50.508461;55.813923;0;999
148;56.679291;31.981634;0;999
149;62.669922;57.738857;0;999
150;6.949497;57.675282;0;999
151;91.427322;56.181984;0;999
152;91.655083;28.763153;0;999
153;92.015694;95.572685;0;999
154;73.814003;5.744565;0;999
155;50.223732;55.973873;0;999
156;97.667923;63.603024;0;999
157;86.664627;29.884804;0;999
158;29.539030;84.397652;0;999
159;86.783699;70.070679;0;999
160;27.174564;24.432568;0;999
161;39.904789;3.676213;0;999
162;24.839846;63.000198;0;999
163;77.888786;89.646240;0;999
164;51.486324;96.081566;0;999
165;61.945717;54.652599;0;999
166;9.341227;61.301468;0;999
167;77.396400;67.895149;0;999
168;68.066818;72.767639;0;999
169;60.674297;81.990677;0;999
170;54.162052;83.366570;0;999
171;13.452205;31.387344;0;999
172;23.003736;88.744896;0;999
173;31.150597;58.144623;0;999
174;84.613792;34.647259;0;999
175;76.498260;18.131819;0;999
176;15.524499;96.400558;0;999
177;36.247562;86.162933;0;999
178;69.233398;97.232727;0;999
179;99.668541;28.147369;0;999
180;37.513954;62.408993;0;999
181;55.455818;31.290031;0;999
182;37.666344;41.594070;0;999
183;89.286087;21.453247;0;999
184;45.297306;87.425346;0;999
185;65.824692;37.552105;0;999
186;96.832916;26.938015;0;999
187;13.838898;17.020073;0;999
188;58.047028;82.366135;0;999
189;90.306900;21.236322;0;999
