gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;2
121;2
122;2
123;1
124;1
125;2
126;2
127;2
128;2
129;1
130;1
131;1
132;1
133;2
134;2
135;2
136;2
137;2
138;2
139;2
140;2
141;2
142;2
143;3
144;2
145;2
146;2
147;2
148;3
149;3
150;2
151;3
152;4
153;4
154;3
155;3
156;3
157;3
158;4
159;3
160;3
161;2
162;4
163;4
164;3
165;4
166;3
167;3
168;4
169;6
170;7
171;5
172;7
173;5
174;5
175;5
176;4
177;4
178;5
179;5
180;6
181;7
182;5
183;6
184;6
185;5
186;6
187;7
188;6
189;7
190;7
191;9
192;7
193;7
194;9
195;7
196;10
197;8
198;7
199;9
200;10
201;10
202;8
203;10
204;10
205;10
206;10
207;13
208;11
209;10
210;12
211;13
212;10
213;11
214;14
215;14
216;14
217;13
218;17
219;20
220;19
221;16
222;16
223;18
224;15
225;15
226;18
227;16
228;18
229;17
230;18
231;21
232;19
233;18
234;17
235;20
236;18
237;19
238;21
239;19
240;19
241;22
242;19
243;20
244;20
245;22
246;25
247;25
248;22
249;24
250;27
251;25
252;29
253;26
254;27
255;28
256;29
257;28
258;31
259;32
260;29
261;28
262;31
263;31
264;34
265;31
266;33
267;34
268;33
269;36
270;37
271;36
272;37
273;37
274;38
275;38
276;39
277;37
278;37
279;36
280;36
281;38
282;35
283;37
284;38
285;35
286;38
287;41
288;40
289;42
290;41
291;43
292;42
293;41
294;42
295;45
296;43
297;43
298;43
299;43
