gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;2
108;2
109;2
110;2
111;2
112;2
113;2
114;2
115;2
116;2
117;2
118;2
119;2
120;2
121;2
122;2
123;2
124;2
125;3
126;3
127;3
128;3
129;3
130;3
131;3
132;3
133;3
134;4
135;3
136;3
137;3
138;3
139;3
140;3
141;3
142;4
143;5
144;5
145;4
146;7
147;6
148;5
149;8
150;8
151;8
152;8
153;7
154;7
155;7
156;7
157;9
158;9
159;7
160;7
161;7
162;6
163;8
164;8
165;9
166;11
167;10
168;11
169;11
170;12
171;13
172;12
173;13
174;15
175;15
176;15
177;17
178;16
179;15
180;15
181;20
182;21
183;20
184;19
185;20
186;22
187;22
188;22
189;21
190;23
191;23
192;21
193;20
194;22
195;20
196;19
197;19
198;21
199;22
200;22
201;22
202;22
203;23
204;21
205;21
206;21
207;23
208;24
209;25
210;25
211;23
212;25
213;24
214;24
215;23
216;25
217;25
218;25
219;25
220;26
221;27
222;25
223;24
224;29
225;30
226;30
227;29
228;32
229;33
230;34
231;33
232;33
233;31
234;31
235;31
236;31
237;31
238;32
239;32
240;34
241;35
242;36
243;36
244;36
245;35
246;35
247;35
248;37
249;37
250;38
251;38
252;39
253;39
254;39
255;41
256;41
257;43
258;43
259;42
260;44
261;44
262;46
263;46
264;47
265;46
266;45
267;44
268;46
269;45
270;47
271;46
272;47
273;48
274;47
275;51
276;50
277;48
278;49
279;49
280;47
281;47
282;48
283;50
284;50
285;50
286;51
287;51
288;51
289;51
290;51
291;49
292;49
293;48
294;50
295;50
296;51
297;51
298;50
299;52
